service,cpu_millicores,memory_mb,replicas,observed_cpu_millicores,msc_rps,violation_reason
geo,100,256,1,56,20,p90_latency
geo,100,256,2,70,50,p90_latency
geo,100,256,3,84,50,p90_latency
geo,200,256,1,65,40,p90_latency
geo,200,256,2,95,120,p90_latency
geo,200,256,3,96,180,p90_latency
geo,500,256,1,85,100,p90_latency
geo,500,256,2,150,280,p90_latency
geo,500,256,3,198,320,p90_latency
rate,100,256,2,97,20,p90_latency
rate,100,256,3,104,40,p90_latency
rate,200,256,1,108,40,p90_latency
rate,200,256,2,100,100,p90_latency
rate,200,256,3,118,90,p90_latency
rate,500,256,1,107,60,p90_latency
rate,500,256,2,151,200,p90_latency
rate,500,256,3,200,230,p90_latency
profile,100,256,1,65,20,success_rate
profile,100,256,2,67,30,p90_latency
profile,100,256,3,93,50,p90_latency
profile,200,256,1,64,30,p90_latency
profile,200,256,2,93,80,p90_latency
profile,200,256,3,94,110,p90_latency
profile,500,256,1,122,80,p90_latency
profile,500,256,2,169,310,p90_latency
profile,500,256,3,232,280,p90_latency
recommendation,100,256,1,44,60,p90_latency
recommendation,100,256,2,59,90,p90_latency
recommendation,100,256,3,61,120,p90_latency
recommendation,200,256,1,48,80,p90_latency
recommendation,200,256,2,88,260,p90_latency
recommendation,200,256,3,110,320,p90_latency
recommendation,500,256,1,56,180,p90_latency
recommendation,500,256,2,70,230,p90_latency
recommendation,500,256,3,115,320,p90_latency
user,100,256,1,39,50,p90_latency
user,100,256,2,41,100,p90_latency
user,100,256,3,59,200,p90_latency
user,200,256,1,43,120,p90_latency
user,200,256,2,90,250,p90_latency
user,200,256,3,90,270,p90_latency
user,500,256,1,80,250,p90_latency
user,500,256,2,80,230,p90_latency
user,500,256,3,93,280,p90_latency
reservation,100,256,2,118,30,p90_latency
reservation,100,256,3,89,50,p90_latency
reservation,200,256,1,69,30,p90_latency
reservation,200,256,2,89,60,p90_latency
reservation,200,256,3,122,90,p90_latency
reservation,500,256,1,89,80,p90_latency
reservation,500,256,2,219,310,p90_latency
reservation,500,256,3,219,380,p90_latency
search,100,256,1,72,15,p90_latency
search,100,256,2,125,15,p90_latency
search,100,256,3,195,25,p90_latency
search,200,256,1,85,25,p90_latency
search,200,256,2,115,50,p90_latency
search,200,256,3,197,145,p90_latency
search,500,256,1,161,85,p90_latency
search,500,256,2,570,500,max_rps_reached
search,500,256,3,576,500,max_rps_reached
reservation,100,256,1,61,10,p90_latency
