config,cpu_millicores,replicas,rps,success_rate,effective_rps,p50_latency_ms,p90_latency_ms,p99_latency_ms,count,failures,error_summary
200m x 2,200,2,10,1.0,10.0,3.8977170042926446,33.99070700106677,45.60932899767067,150,0,[]
200m x 2,200,2,20,1.0,20.0,7.142308008042164,45.5595030070981,48.19496600248385,300,0,[]
200m x 3,200,3,10,1.0,10.0,3.526645989040844,6.993527989834547,44.265101008932106,150,0,[]
200m x 3,200,3,20,1.0,20.0,7.849382993299514,45.65432098752353,47.93121000693645,300,0,[]
200m x 3,200,3,30,0.9644444444444444,28.933333333333334,40.561380999861285,45.66125900601037,49.20964299526531,450,16,"[{'error': 'DEADLINE_EXCEEDED: Deadline Exceeded', 'count': 16}]"
500m x 2,500,2,10,1.0,10.0,3.608685001381673,26.094501008628868,44.75626199564431,150,0,[]
500m x 2,500,2,20,1.0,20.0,7.97987800615374,46.24473399599083,48.655100996256806,300,0,[]
500m x 3,500,3,10,1.0,10.0,3.7293929926818237,7.033268993836828,45.20477600453887,150,0,[]
500m x 3,500,3,20,1.0,20.0,6.379327009199187,44.52111000136938,46.6146170074353,300,0,[]
500m x 3,500,3,30,0.98,29.4,41.333001005114056,47.226713999407366,50.48348300624639,450,9,"[{'error': 'DEADLINE_EXCEEDED: Deadline Exceeded', 'count': 9}]"
